metrics,x_predicted,x_source,diff percentage
R_squared,0.9978100247078475,0.9977157607980783,9.44797240586693e-05
MAE,0.05486071665733968,0.05624004490196081,-0.02452573156770431
MAPE,0.018438676035605922,0.018973984385086462,-0.028212753769381826
MSE,0.0051578236313535785,0.0053798337257751575,-0.041267092207313616
Max Error,0.29568741720516645,0.3096228999999999,-0.045007920263111935
