metrics,z_predicted,z_source,diff percentage
R_squared,0.0959988383062148,-34.39882743338776,-1.002790759030729
MAE,0.039369844798388585,0.2881525343847368,-0.8633715129993527
MAPE,0.04563791077354444,0.3454262181083206,-0.8678794243717972
MSE,0.0029080014544016074,0.11387135993003539,-0.9744623981290086
Max Error,0.19683714732359103,1.2525682,-0.842853149773728
