metrics,y_predicted,y_source,diff percentage
R_squared,0.9983257160001519,0.9963348058643129,0.001998234051566495
MAE,0.0318093615184772,0.04778800515686271,-0.3343651526347686
MAPE,0.020297554525317032,0.033104201434385784,-0.38685865703337324
MSE,0.002133799286091729,0.004671124272122461,-0.5431936378087036
Max Error,0.2732506795301113,0.34119706000000005,-0.19914116630984088
