x,y,z,quality,true_x,true_y,true_z
0.43833607,0.13405012,0.063913412,70,0.5,0.25,0.0
0.42288822,0.16303758,0.087872542,82,0.5,0.25,0.0
0.38220066,0.14085004,0.13956308,53,0.5,0.25,0.0
0.40078506,0.15391102,0.18118767,66,0.5,0.25,0.0
0.39597407,0.16445152,0.20147578,58,0.5,0.25,0.0
0.39620048,0.17244489,0.22220482,59,0.5,0.25,0.0
0.39958674,0.17200704,0.23734108,61,0.5,0.25,0.0
0.40114909,0.15896365,0.25818959,65,0.5,0.25,0.0
0.39911315,0.16189611,0.25483105,61,0.5,0.25,0.0
0.39608473,0.17026433,0.26572117,59,0.5,0.25,0.0
0.42387757,0.15054497,0.2781007,72,0.5,0.25,0.0
0.44038224,0.086782843,0.17263186,78,0.5,0.25,0.0
0.43902394,0.093929991,0.19541369,64,0.5,0.25,0.0
0.42767003,0.12118947,0.21764633,58,0.5,0.25,0.0
0.42906374,0.12982889,0.17728546,90,0.5,0.25,0.0
0.41983464,0.1239046,0.20503269,62,0.5,0.25,0.0
0.40752718,0.1503233,0.21873839,60,0.5,0.25,0.0
0.40325323,0.16363844,0.22714916,61,0.5,0.25,0.0
0.41130918,0.1431291,0.23692493,66,0.5,0.25,0.0
0.40851194,0.14531103,0.23671228,61,0.5,0.25,0.0
0.41368738,0.12921531,0.25904381,68,0.5,0.25,0.0
0.41768283,0.14796145,0.27209517,64,0.5,0.25,0.0
0.43923095,0.15566668,0.23757155,86,0.5,0.25,0.0
0.43298611,0.17585757,0.26382673,64,0.5,0.25,0.0
0.43218049,0.16658595,0.27204451,64,0.5,0.25,0.0
0.45040932,0.094915166,0.18704753,79,0.5,0.25,0.0
0.44461706,0.086192258,0.21965817,69,0.5,0.25,0.0
0.43668953,0.067228809,0.24628198,71,0.5,0.25,0.0
0.42812693,0.099879853,0.24659202,63,0.5,0.25,0.0
0.41971889,0.11044639,0.2543202,60,0.5,0.25,0.0
0.42806739,0.12079901,0.27607086,68,0.5,0.25,0.0
0.43078166,0.12181482,0.26521084,62,0.5,0.25,0.0
0.43586558,0.11928,0.28278527,69,0.5,0.25,0.0
0.4332324,0.11383244,0.28564289,66,0.5,0.25,0.0
0.42907727,0.11554169,0.29675043,66,0.5,0.25,0.0
0.44443136,0.13585247,0.24561183,93,0.5,0.25,0.0
0.43655029,0.12707254,0.10661384,65,0.5,0.25,0.0
0.42474329,0.13467333,0.13775061,62,0.5,0.25,0.0
0.42273408,0.11755861,0.17997439,67,0.5,0.25,0.0
0.46143585,0.11619713,0.14482671,93,0.5,0.25,0.0
0.42283896,0.1088656,0.16891867,51,0.5,0.25,0.0
0.43302265,0.10671697,0.148934,82,0.5,0.25,0.0
0.43848518,0.10341245,0.19163297,69,0.5,0.25,0.0
0.4258661,0.11012139,0.20148745,59,0.5,0.25,0.0
0.42601553,0.12845886,0.23314315,65,0.5,0.25,0.0
0.42480537,0.13700779,0.25730687,65,0.5,0.25,0.0
0.41988155,0.14851366,0.26769724,61,0.5,0.25,0.0
0.41556334,0.13560046,0.2838611,66,0.5,0.25,0.0
0.41935381,0.14450571,0.29106653,64,0.5,0.25,0.0
0.41298118,0.15457708,0.2739841,66,0.5,0.25,0.0
0.43665734,0.14651738,0.22377065,88,0.5,0.25,0.0
0.44835451,0.07847324,0.1306408,79,0.5,0.25,0.0
0.43426096,0.10769718,0.17508414,60,0.5,0.25,0.0
0.43272418,0.12014181,0.2100963,65,0.5,0.25,0.0
0.45013681,0.1234604,0.23254202,70,0.5,0.25,0.0
0.45075414,0.12109669,0.20938118,77,0.5,0.25,0.0
0.45209035,0.14769571,0.16512178,98,0.5,0.25,0.0
0.44179729,0.12608565,0.19255257,66,0.5,0.25,0.0
0.42523661,0.13137347,0.21131212,57,0.5,0.25,0.0
0.4458434,0.12935667,0.16278648,91,0.5,0.25,0.0
0.44012177,0.12401241,0.20368442,67,0.5,0.25,0.0
0.44363353,0.11585603,0.23714468,70,0.5,0.25,0.0
0.44025019,0.12584619,0.23546568,64,0.5,0.25,0.0
0.45022082,0.12745939,0.20487794,84,0.5,0.25,0.0
0.44689074,0.12764286,0.22194941,64,0.5,0.25,0.0
0.41895252,0.14578113,0.23189533,55,0.5,0.25,0.0
0.41200212,0.13681151,0.25569198,64,0.5,0.25,0.0
0.40507981,0.145018,0.25422618,59,0.5,0.25,0.0
0.43779165,0.13588265,0.27283627,70,0.5,0.25,0.0
0.42855364,0.13249733,0.27408972,61,0.5,0.25,0.0
0.3892386,0.13499668,0.2698397,44,0.5,0.25,0.0
0.35602283,0.13215175,0.27264285,45,0.5,0.25,0.0
0.37231085,0.14498162,0.28415397,64,0.5,0.25,0.0
0.38143691,0.15427403,0.2949231,63,0.5,0.25,0.0
0.39231575,0.14608188,0.3048735,67,0.5,0.25,0.0
0.41990751,0.14655802,0.27057892,78,0.5,0.25,0.0
0.40717116,0.14313798,0.22596197,79,0.5,0.25,0.0
0.43528563,0.071785316,0.11605159,81,0.5,0.25,0.0
0.42942858,0.084842324,0.15657127,62,0.5,0.25,0.0
0.42751366,0.095599808,0.20152229,67,0.5,0.25,0.0
0.43269134,0.19357166,-0.076341689,87,0.5,0.25,0.0
0.42589891,0.23994991,-0.057256263,85,0.5,0.25,0.0
0.39765695,0.30869076,0.014624321,63,0.5,0.25,0.0
0.45427737,0.19751394,0.0743497,78,0.5,0.25,0.0
0.51620376,0.089516588,0.019190084,86,0.5,0.25,0.0
0.54446369,0.042847529,0.085067585,76,0.5,0.25,0.0
0.48686653,0.14838828,-0.013326256,62,0.5,0.25,0.0
0.51358271,0.081774995,-0.068997219,78,0.5,0.25,0.0
0.534115,0.04264047,0.019041296,75,0.5,0.25,0.0
0.54756713,0.029351456,0.091285571,72,0.5,0.25,0.0
0.56134689,-0.016831815,0.10611456,79,0.5,0.25,0.0
0.5619691,-0.027318446,0.1007676,71,0.5,0.25,0.0
0.4916293,0.10442144,-0.003438073,64,0.5,0.25,0.0
0.45487571,0.19609822,0.068763666,64,0.5,0.25,0.0
0.50477147,0.11419155,0.022095369,84,0.5,0.25,0.0
0.53016329,0.051352996,0.067692533,78,0.5,0.25,0.0
0.54942191,0.018800428,0.093461841,73,0.5,0.25,0.0
0.49931839,0.12690713,0.030574663,71,0.5,0.25,0.0
0.52621108,0.0728811,-0.037362166,75,0.5,0.25,0.0
0.54079229,0.051449277,-0.014269928,71,0.5,0.25,0.0
0.548884,0.020886155,0.066251129,76,0.5,0.25,0.0
0.57397395,-0.023125229,0.071468152,78,0.5,0.25,0.0
0.52115172,0.079968177,0.023999477,75,0.5,0.25,0.0
0.46210536,0.19709809,-0.035752833,65,0.5,0.25,0.0
0.49624962,0.12203655,-0.073591955,75,0.5,0.25,0.0
0.44682249,0.22274193,-0.0055281334,61,0.5,0.25,0.0
0.41833845,0.27718166,0.061974406,80,0.5,0.25,0.0
0.45862222,0.19195643,0.08334884,72,0.5,0.25,0.0
0.42664924,0.25974724,0.12501994,59,0.5,0.25,0.0
0.39387959,0.32942444,0.057681646,61,0.5,0.25,0.0
0.37755328,0.35308978,-0.039774541,62,0.5,0.25,0.0
0.36035264,0.37989271,-0.11232316,63,0.5,0.25,0.0
0.43519917,0.24213651,-0.062186543,80,0.5,0.25,0.0
0.47188598,0.18358073,-0.0929022,66,0.5,0.25,0.0
0.50549918,0.10804862,-0.13350683,78,0.5,0.25,0.0
0.5448938,0.0224176,-0.031889576,85,0.5,0.25,0.0
0.56395137,-0.025728127,0.020900168,81,0.5,0.25,0.0
0.5837068,-0.060264166,0.044084582,79,0.5,0.25,0.0
0.50633717,0.089756608,-0.011323581,61,0.5,0.25,0.0
0.53391206,0.047075439,0.046072777,73,0.5,0.25,0.0
0.534612,0.041354842,0.07729917,68,0.5,0.25,0.0
0.54456222,0.010268127,0.13852017,78,0.5,0.25,0.0
0.55212939,-0.018206639,0.17767356,78,0.5,0.25,0.0
0.56781048,-0.0522031,0.17391662,79,0.5,0.25,0.0
0.50270796,0.064005159,0.11811167,78,0.5,0.25,0.0
0.45686436,0.15835978,0.0067144721,62,0.5,0.25,0.0
0.50736296,0.084733009,-0.048486147,77,0.5,0.25,0.0
0.52627635,0.0336697,-0.012367537,76,0.5,0.25,0.0
0.47088251,0.13913967,-0.07748346,58,0.5,0.25,0.0
0.49217162,0.10208593,-0.11214797,70,0.5,0.25,0.0
0.44602486,0.20777898,-0.027062425,64,0.5,0.25,0.0
0.39666557,0.31692398,0.043051772,77,0.5,0.25,0.0
0.39714649,0.30826157,-0.022702496,69,0.5,0.25,0.0
0.44733781,0.195068,0.023041472,79,0.5,0.25,0.0
0.48531693,0.13074572,-0.05780413,75,0.5,0.25,0.0
0.44634593,0.20990045,0.038585424,63,0.5,0.25,0.0
0.41155067,0.26723129,0.097922407,57,0.5,0.25,0.0
0.4179894,0.27543724,0.010392346,63,0.5,0.25,0.0
0.38559148,0.32586676,-0.063524358,60,0.5,0.25,0.0
0.3700003,0.34086135,-0.13057962,59,0.5,0.25,0.0
0.43663171,0.21248871,-0.064193271,80,0.5,0.25,0.0
0.49342832,0.089666732,-0.11189146,88,0.5,0.25,0.0
0.5210619,0.047569297,-0.15560085,75,0.5,0.25,0.0
0.47316048,0.16517526,-0.19130024,68,0.5,0.25,0.0
0.50324833,0.10868887,-0.20780227,74,0.5,0.25,0.0
0.52915853,0.070307113,-0.073515214,74,0.5,0.25,0.0
0.56084347,-0.0033365842,0.0064592483,85,0.5,0.25,0.0
0.57901609,-0.035384558,0.055375237,77,0.5,0.25,0.0
0.50208205,0.11363105,0.025176795,62,0.5,0.25,0.0
0.45210457,0.21198207,-0.051775578,64,0.5,0.25,0.0
0.4990297,0.12197868,-0.052909967,78,0.5,0.25,0.0
0.46549964,0.18530792,0.026869798,57,0.5,0.25,0.0
0.42938188,0.26809424,0.086699627,65,0.5,0.25,0.0
0.40299174,0.30507889,-0.015063649,60,0.5,0.25,0.0
0.38937086,0.33280668,-0.082140595,59,0.5,0.25,0.0
0.38718241,0.32022861,-0.10695618,76,0.5,0.25,0.0
0.43165761,0.24016534,-0.036139932,68,0.5,0.25,0.0
0.47909588,0.15472282,-0.095957205,76,0.5,0.25,0.0
0.51733142,0.0890347,-0.13046859,76,0.5,0.25,0.0
0.54385746,0.054400232,-0.029487897,72,0.5,0.25,0.0
0.558471,-0.0063948836,0.02108172,82,0.5,0.25,0.0
0.56999248,-0.041793615,0.033207651,78,0.5,0.25,0.0
0.50151366,0.093642324,-0.045126427,63,0.5,0.25,0.0
0.53167504,0.050056007,0.030344293,74,0.5,0.25,0.0
0.4637211,0.16819526,-0.0040906528,65,0.5,0.25,0.0
0.49477169,0.11889681,-0.071834825,72,0.5,0.25,0.0
0.44480065,0.21375345,-0.011951928,60,0.5,0.25,0.0
0.4874734,0.1290282,-0.075769641,78,0.5,0.25,0.0
0.44923404,0.21758951,0.017746877,65,0.5,0.25,0.0
0.49159619,0.14621788,-0.059553813,74,0.5,0.25,0.0
0.44628659,0.23500293,0.036536545,66,0.5,0.25,0.0
0.43254891,0.26465973,0.07377959,69,0.5,0.25,0.0
0.40955919,0.33050132,-0.027692631,71,0.5,0.25,0.0
0.37743145,0.3703993,-0.07661777,56,0.5,0.25,0.0
0.36928242,0.39657161,-0.13741186,66,0.5,0.25,0.0
0.35864329,0.41183338,-0.16930388,59,0.5,0.25,0.0
0.40194437,0.37745592,-0.1919308,64,0.5,0.25,0.0
0.45215198,0.25826219,-0.092178039,75,0.5,0.25,0.0
0.43522036,0.27418956,-0.11946688,69,0.5,0.25,0.0
0.47067866,0.19365804,-0.073597424,69,0.5,0.25,0.0
0.44401416,0.24223308,0.029620266,63,0.5,0.25,0.0
0.43976793,0.27644598,0.061222155,74,0.5,0.25,0.0
0.41922995,0.30464658,0.024217792,75,0.5,0.25,0.0
0.39931643,0.33400041,-0.064986371,63,0.5,0.25,0.0
0.45151749,0.2082777,-0.010153636,80,0.5,0.25,0.0
0.42985269,0.27802789,0.074631296,69,0.5,0.25,0.0
0.39912054,0.32150605,-0.025273571,82,0.5,0.25,0.0
0.41015953,0.32053351,-0.076525815,67,0.5,0.25,0.0
0.40914142,0.3238785,-0.11447945,64,0.5,0.25,0.0
0.460091,0.21227069,-0.033585839,77,0.5,0.25,0.0
0.42075416,0.27427837,0.054080267,62,0.5,0.25,0.0
0.47729054,0.14708993,0.11789925,85,0.5,0.25,0.0
0.43620068,0.25067446,0.10201818,64,0.5,0.25,0.0
0.41870335,0.27177021,0.044902589,79,0.5,0.25,0.0
0.38558808,0.34571335,2.6676777e-05,65,0.5,0.25,0.0
0.36629027,0.36353523,-0.0744681,57,0.5,0.25,0.0
0.36699879,0.3518936,-0.10900892,67,0.5,0.25,0.0
0.35363066,0.39281324,-0.15897618,67,0.5,0.25,0.0
0.37410551,0.37389287,-0.16814867,74,0.5,0.25,0.0
0.35808,0.3866941,-0.20205298,58,0.5,0.25,0.0
0.34783238,0.40627322,-0.23032084,63,0.5,0.25,0.0
0.34463483,0.40232143,-0.251278,59,0.5,0.25,0.0
0.41755277,0.26319295,-0.18845852,78,0.5,0.25,0.0
0.47156444,0.14890169,-0.13144927,82,0.5,0.25,0.0
0.49494433,0.089002453,-0.16217075,77,0.5,0.25,0.0
0.46231255,0.17630507,-0.04363507,64,0.5,0.25,0.0
0.5081653,0.091865696,-0.048264984,79,0.5,0.25,0.0
0.53630608,0.042419836,0.0265489,76,0.5,0.25,0.0
0.56158686,0.020517636,0.10031722,73,0.5,0.25,0.0
0.56193846,0.021576243,0.11216009,67,0.5,0.25,0.0
0.5623067,0.024750667,0.13244955,66,0.5,0.25,0.0
0.51925987,0.12609318,0.077433996,75,0.5,0.25,0.0
0.53353226,0.075845815,0.12802894,76,0.5,0.25,0.0
0.55427527,0.03571865,0.16894275,75,0.5,0.25,0.0
0.55418819,0.027160104,0.15867585,67,0.5,0.25,0.0
0.50426674,0.093482174,0.060826406,61,0.5,0.25,0.0
0.52744162,0.051893562,0.10060602,73,0.5,0.25,0.0
0.54553777,0.01203318,0.12832572,76,0.5,0.25,0.0
0.54759151,-0.018852942,0.14888118,78,0.5,0.25,0.0
0.55522096,-0.036438953,0.18760014,77,0.5,0.25,0.0
0.5101313,0.068655171,0.090317465,62,0.5,0.25,0.0
0.52712584,0.026122637,0.13740215,78,0.5,0.25,0.0
0.55744636,-0.007360178,0.16419087,75,0.5,0.25,0.0
0.55656654,-0.002460557,0.16419064,67,0.5,0.25,0.0
0.51888394,0.068558186,0.0744575,75,0.5,0.25,0.0
0.45480451,0.18105966,0.0077837491,57,0.5,0.25,0.0
0.43742427,0.2114245,-0.048346955,68,0.5,0.25,0.0
0.484136,0.13853592,-0.11091422,75,0.5,0.25,0.0
0.51394415,0.083153933,-0.14918678,75,0.5,0.25,0.0
0.53837407,0.029823743,-0.077448957,77,0.5,0.25,0.0
0.55488688,0.002136494,-0.0092399726,73,0.5,0.25,0.0
0.56671035,-0.0256699,0.031481307,75,0.5,0.25,0.0
0.56238317,-0.015826618,0.041911896,73,0.5,0.25,0.0
0.58077508,-0.067936882,0.10494994,85,0.5,0.25,0.0
0.57440442,-0.081745416,0.14424443,79,0.5,0.25,0.0
0.57923615,-0.098306514,0.14155072,79,0.5,0.25,0.0
0.58568746,-0.086776957,0.17602462,73,0.5,0.25,0.0
0.51057827,0.055339374,0.073020369,56,0.5,0.25,0.0
0.533424,0.0338149,0.11848847,71,0.5,0.25,0.0
0.48373017,0.150668,0.011285584,67,0.5,0.25,0.0
0.51675868,0.084464051,-0.042856582,76,0.5,0.25,0.0
0.48284879,0.15911242,-0.083351769,62,0.5,0.25,0.0
0.505795,0.11657375,-0.086310349,67,0.5,0.25,0.0
0.46706891,0.19192328,-0.081287563,76,0.5,0.25,0.0
0.44073966,0.23114325,-0.030694824,78,0.5,0.25,0.0
0.51156539,0.11282463,-0.044991743,87,0.5,0.25,0.0
0.51920235,0.0693926,0.045523543,77,0.5,0.25,0.0
0.52306533,0.025332589,0.092726715,79,0.5,0.25,0.0
0.53482056,0.023012742,0.10456023,67,0.5,0.25,0.0
0.49597719,0.11659238,0.026566584,61,0.5,0.25,0.0
0.52569628,0.04889616,-0.020736506,79,0.5,0.25,0.0
0.49349219,0.099172123,-0.075218931,66,0.5,0.25,0.0
0.43908334,0.21843202,-0.067419916,65,0.5,0.25,0.0
0.42123285,0.268042,-0.015589507,76,0.5,0.25,0.0
0.41204041,0.28979102,-0.060903218,67,0.5,0.25,0.0
0.40044403,0.30153662,-0.092323862,69,0.5,0.25,0.0
0.45388693,0.19439229,-0.011423852,78,0.5,0.25,0.0
0.51549464,0.074308656,-0.024478557,89,0.5,0.25,0.0
0.5370177,0.034983195,0.03600638,74,0.5,0.25,0.0
0.55066812,0.0049721147,0.090697445,76,0.5,0.25,0.0
0.55268782,-0.023543185,0.13604435,79,0.5,0.25,0.0
0.5686419,-0.049835809,0.14649488,77,0.5,0.25,0.0
0.50296468,0.07093282,0.035796348,58,0.5,0.25,0.0
0.4464238,0.17713118,-0.016325071,59,0.5,0.25,0.0
0.41696143,0.24584481,0.061018039,61,0.5,0.25,0.0
0.4000577,0.3072592,0.12819049,68,0.5,0.25,0.0
0.45103395,0.19700043,0.12722942,77,0.5,0.25,0.0
0.41934109,0.26369494,0.17523445,64,0.5,0.25,0.0
0.46726227,0.16285299,0.13142583,77,0.5,0.25,0.0
0.43534631,0.23887664,0.17558675,64,0.5,0.25,0.0
0.478848,0.14393157,0.092225842,78,0.5,0.25,0.0
0.43500328,0.22213306,0.13982141,59,0.5,0.25,0.0
0.41652048,0.2736558,0.17490315,61,0.5,0.25,0.0
0.46082318,0.17270014,0.18154767,78,0.5,0.25,0.0
0.48724958,0.13531713,0.097933307,67,0.5,0.25,0.0
0.50795877,0.10827761,0.029973738,65,0.5,0.25,0.0
0.45123109,0.207241,-0.024919383,56,0.5,0.25,0.0
0.4228113,0.27354291,0.0515489,63,0.5,0.25,0.0
0.47478235,0.16230758,0.047026951,80,0.5,0.25,0.0
0.45408186,0.20339733,0.076026551,76,0.5,0.25,0.0
0.41745755,0.27858078,0.12475117,63,0.5,0.25,0.0
0.41168839,0.31150362,0.062411908,74,0.5,0.25,0.0
0.40128937,0.31436262,-0.00043830642,71,0.5,0.25,0.0
0.46096307,0.16625492,0.0052655488,88,0.5,0.25,0.0
0.50485379,0.086319618,-0.048253253,79,0.5,0.25,0.0
0.520225,0.046708062,0.012199996,74,0.5,0.25,0.0
0.543277,-0.0093478048,0.040345792,81,0.5,0.25,0.0
0.48626253,0.10893377,-0.044580664,62,0.5,0.25,0.0
0.46233287,0.16873613,0.019094381,66,0.5,0.25,0.0
0.49803734,0.0964749,-0.040218379,77,0.5,0.25,0.0
0.52235681,0.030529272,-0.061525442,80,0.5,0.25,0.0
0.54201019,0.0027212172,0.02961896,76,0.5,0.25,0.0
0.50220317,0.074454241,-0.034526933,67,0.5,0.25,0.0
0.46744621,0.12351184,-0.092888013,57,0.5,0.25,0.0
0.50576681,0.062996946,-0.12417018,77,0.5,0.25,0.0
0.46769515,0.14228934,-0.14180632,62,0.5,0.25,0.0
0.51032662,0.075517833,-0.13965222,76,0.5,0.25,0.0
0.52693522,0.058861963,-0.077193119,70,0.5,0.25,0.0
0.4668496,0.15713161,-0.12727667,56,0.5,0.25,0.0
0.42077887,0.2442445,-0.042358719,58,0.5,0.25,0.0
0.47271353,0.14830974,-0.067072928,77,0.5,0.25,0.0
0.43484166,0.22541669,0.030429669,63,0.5,0.25,0.0
0.40088174,0.29158613,0.068792544,58,0.5,0.25,0.0
0.39331248,0.29591107,0.01220765,77,0.5,0.25,0.0
0.37666583,0.33803222,-0.054072965,59,0.5,0.25,0.0
0.44032189,0.22863996,0.019374968,75,0.5,0.25,0.0
0.45167491,0.18987377,-0.043099,69,0.5,0.25,0.0
0.42997077,0.26422495,0.049922273,69,0.5,0.25,0.0
0.44813454,0.26544389,-0.03243617,67,0.5,0.25,0.0
0.43432215,0.29152086,-0.085220963,58,0.5,0.25,0.0
0.40191686,0.33427727,-0.12911399,58,0.5,0.25,0.0
0.38949516,0.325043,-0.1440507,72,0.5,0.25,0.0
0.45087886,0.2018569,-0.083989859,80,0.5,0.25,0.0
0.49139407,0.1146595,-0.0912443,78,0.5,0.25,0.0
0.52241844,0.04995501,-0.12279158,79,0.5,0.25,0.0
0.54712737,-0.014361955,-0.01636293,84,0.5,0.25,0.0
0.55904233,-0.050486129,0.02229749,80,0.5,0.25,0.0
0.4998084,0.083976738,-0.059581082,65,0.5,0.25,0.0
0.45466739,0.16849802,0.027491849,57,0.5,0.25,0.0
0.43059209,0.23425449,0.097842492,63,0.5,0.25,0.0
0.40580294,0.2999087,0.14025082,64,0.5,0.25,0.0
0.47145429,0.18655996,0.11636036,78,0.5,0.25,0.0
0.44393587,0.2494732,0.16369727,63,0.5,0.25,0.0
0.41958961,0.30751655,0.18296745,62,0.5,0.25,0.0
0.40951163,0.33075896,0.10281211,75,0.5,0.25,0.0
0.46353713,0.23434047,0.1524826,73,0.5,0.25,0.0
0.509766,0.14769167,0.07892704,74,0.5,0.25,0.0
0.54646766,0.040324338,0.10301067,88,0.5,0.25,0.0
0.55905372,-0.0061382172,0.10099731,78,0.5,0.25,0.0
0.51242262,-0.0058389409,0.023957731,67,0.5,0.25,0.0
