metrics,x_predicted,x_source,diff percentage
R_squared,0.998,0.998,0.0
MAE,0.047,0.05,-6.0
MAPE,0.024,0.024,0.0
MSE,0.004,0.004,0.0
Max Error,0.402,0.31,29.677
